1,"第1期","1999/08","1999/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
2,"第2期","1999/02","1999/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
3,"第3期","1999/08","2000/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
4,"第4期","2000/02","2000/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
5,"第5期","2000/08","2001/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
6,"第6期","2001/02","2001/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
7,"第7期","2001/08","2002/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
8,"第8期","2002/02","2002/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
9,"第9期","2002/08","2003/02","2013-08-01 13:48:21","2013-08-01 13:48:21"
10,"第10期","2003/08","2004/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
11,"第11期","2004/02","2004/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
12,"第12期","2004/08","2005/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
13,"第13期","2005/02","2005/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
14,"第14期","2005/08","2006/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
15,"第15期","2006/02","2006/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
16,"第16期","2006/08","2007/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
17,"第17期","2007/02","2007/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
18,"第18期","2007/08","2008/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
19,"第19期","2008/02","2008/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
20,"第20期","2008/08","2009/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
21,"第21期","2009/02","2009/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
22,"第22期","2009/08","2010/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
23,"第23期","2010/02","2010/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
24,"第24期","2010/08","2011/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
25,"第25期","2011/08","2012/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
26,"第26期","2012/02","2012/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
27,"第27期","2012/08","2013/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
28,"第28期","2013/02","2013/07","2013-08-01 13:48:21","2013-08-01 13:48:21"
29,"第29期","2013/08","2013/01","2013-08-01 13:48:21","2013-08-01 13:48:21"
30,"第30期","2014/02","2014/07","2014-02-15 12:00:00","2014-02-15 12:00:00"
31,"第31期","2014/08","2015/01","2014-11-03 12:00:00","2014-11-03 12:00:00"
32,"第32期","2015/02","2013/07","2014-11-03 12:00:00","2014-11-03 12:00:00"
